naca,alpha,reynolds,log_re,mach,tc_ratio,camber,cl,cd,cl_sq,re_mach
0009,11.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.065507,1.092025,0.005
0009,11.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.067011,1.092025,0.005
0009,12.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.066314,1.092025,0.005
0009,12.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.064256,1.092025,0.005
0009,13.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.06642,1.092025,0.005
0009,13.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.066054,1.092025,0.005
0009,14.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.066924,1.092025,0.005
0009,14.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.072218,1.092025,0.005
0009,15.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.085139,1.092025,0.005
0009,15.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.115679,1.092025,0.005
0009,16.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.157325,1.092025,0.005
0009,16.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.192857,1.092025,0.005
0009,17.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.209886,1.092025,0.005
0009,17.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.216982,1.092025,0.005
0009,18.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.213804,1.092025,0.005
0009,18.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.215186,1.092025,0.005
0009,19.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.212329,1.092025,0.005
0009,19.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.212073,1.092025,0.005
0009,20.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.21859,1.092025,0.005
0009,20.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.220355,1.092025,0.005
0009,21.0,100000.0,5.0,0.05,0.09,0.0,1.045,0.215729,1.092025,0.005
0009,21.5,100000.0,5.0,0.05,0.09,0.0,1.045,0.219213,1.092025,0.005
0009,-12.0,100000.0,5.0,0.1,0.09,0.0,-0.8,0.112247,0.64,0.01
0009,-11.5,100000.0,5.0,0.1,0.09,0.0,-0.8,0.091324,0.64,0.01
0009,-11.0,100000.0,5.0,0.1,0.09,0.0,-0.8,0.068711,0.64,0.01
0009,-10.5,100000.0,5.0,0.1,0.09,0.0,-0.8,0.054569,0.64,0.01
0009,-10.0,100000.0,5.0,0.1,0.09,0.0,-0.8,0.047424,0.64,0.01
0009,-9.5,100000.0,5.0,0.1,0.09,0.0,-0.8,0.046649,0.64,0.01
0009,-9.0,100000.0,5.0,0.1,0.09,0.0,-0.8,0.043258,0.64,0.01
0009,-8.5,100000.0,5.0,0.1,0.09,0.0,-0.8,0.04542,0.64,0.01
0009,-8.0,100000.0,5.0,0.1,0.09,0.0,-0.8,0.04488,0.64,0.01
0009,-7.5,100000.0,5.0,0.1,0.09,0.0,-0.8,0.044607,0.64,0.01
0009,-7.0,100000.0,5.0,0.1,0.09,0.0,-0.76764,0.042488,0.589271,0.01
0009,-6.5,100000.0,5.0,0.1,0.09,0.0,-0.7128,0.037477,0.508084,0.01
0009,-6.0,100000.0,5.0,0.1,0.09,0.0,-0.65797,0.034994,0.432925,0.01
0009,-5.5,100000.0,5.0,0.1,0.09,0.0,-0.60314,0.032044,0.363778,0.01
0009,-5.0,100000.0,5.0,0.1,0.09,0.0,-0.54831,0.029559,0.300644,0.01
0009,-4.5,100000.0,5.0,0.1,0.09,0.0,-0.49348,0.02604,0.243523,0.01
0009,-4.0,100000.0,5.0,0.1,0.09,0.0,-0.43865,0.023562,0.192414,0.01
0009,-3.5,100000.0,5.0,0.1,0.09,0.0,-0.38382,0.021577,0.147318,0.01
0009,-3.0,100000.0,5.0,0.1,0.09,0.0,-0.32899,0.020184,0.108234,0.01
0009,-2.5,100000.0,5.0,0.1,0.09,0.0,-0.27416,0.018453,0.075164,0.01
0009,-2.0,100000.0,5.0,0.1,0.09,0.0,-0.21932,0.01696,0.048101,0.01
0009,-1.5,100000.0,5.0,0.1,0.09,0.0,-0.16449,0.016235,0.027057,0.01
0009,-1.0,100000.0,5.0,0.1,0.09,0.0,-0.10966,0.01543,0.012025,0.01
0009,-0.5,100000.0,5.0,0.1,0.09,0.0,-0.05483,0.015203,0.003006,0.01
0009,0.0,100000.0,5.0,0.1,0.09,0.0,0.0,0.014688,0.0,0.01
0009,0.5,100000.0,5.0,0.1,0.09,0.0,0.05483,0.014911,0.003006,0.01
0009,1.0,100000.0,5.0,0.1,0.09,0.0,0.10966,0.015317,0.012025,0.01
0009,1.5,100000.0,5.0,0.1,0.09,0.0,0.16449,0.015757,0.027057,0.01
0009,2.0,100000.0,5.0,0.1,0.09,0.0,0.21932,0.017172,0.048101,0.01
0009,2.5,100000.0,5.0,0.1,0.09,0.0,0.27416,0.018435,0.075164,0.01
0009,3.0,100000.0,5.0,0.1,0.09,0.0,0.32899,0.019912,0.108234,0.01
0009,3.5,100000.0,5.0,0.1,0.09,0.0,0.38382,0.021664,0.147318,0.01
0009,4.0,100000.0,5.0,0.1,0.09,0.0,0.43865,0.023345,0.192414,0.01
0009,4.5,100000.0,5.0,0.1,0.09,0.0,0.49348,0.026078,0.243523,0.01
0009,5.0,100000.0,5.0,0.1,0.09,0.0,0.54831,0.028769,0.300644,0.01
0009,5.5,100000.0,5.0,0.1,0.09,0.0,0.60314,0.031489,0.363778,0.01
0009,6.0,100000.0,5.0,0.1,0.09,0.0,0.65797,0.035025,0.432925,0.01
0009,6.5,100000.0,5.0,0.1,0.09,0.0,0.7128,0.038862,0.508084,0.01
0009,7.0,100000.0,5.0,0.1,0.09,0.0,0.76764,0.043628,0.589271,0.01
0009,7.5,100000.0,5.0,0.1,0.09,0.0,0.82247,0.046631,0.676457,0.01
0009,8.0,100000.0,5.0,0.1,0.09,0.0,0.8773,0.051068,0.769655,0.01
0009,8.5,100000.0,5.0,0.1,0.09,0.0,0.93213,0.055454,0.868866,0.01
0009,9.0,100000.0,5.0,0.1,0.09,0.0,0.98696,0.058702,0.97409,0.01
0009,9.5,100000.0,5.0,0.1,0.09,0.0,1.04179,0.065623,1.085326,0.01
0009,10.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.066022,1.092025,0.01
0009,10.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.0684,1.092025,0.01
0009,11.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.065773,1.092025,0.01
0009,11.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.066264,1.092025,0.01
0009,12.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.065939,1.092025,0.01
0009,12.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.064844,1.092025,0.01
0009,13.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.067232,1.092025,0.01
0009,13.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.067188,1.092025,0.01
0009,14.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.068413,1.092025,0.01
0009,14.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.070585,1.092025,0.01
0009,15.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.085607,1.092025,0.01
0009,15.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.111687,1.092025,0.01
0009,16.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.160734,1.092025,0.01
0009,16.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.200121,1.092025,0.01
0009,17.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.205745,1.092025,0.01
0009,17.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.212036,1.092025,0.01
0009,18.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.215674,1.092025,0.01
0009,18.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.214157,1.092025,0.01
0009,19.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.21089,1.092025,0.01
0009,19.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.21617,1.092025,0.01
0009,20.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.212517,1.092025,0.01
0009,20.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.217495,1.092025,0.01
0009,21.0,100000.0,5.0,0.1,0.09,0.0,1.045,0.212984,1.092025,0.01
0009,21.5,100000.0,5.0,0.1,0.09,0.0,1.045,0.220983,1.092025,0.01
0009,-12.0,100000.0,5.0,0.2,0.09,0.0,-0.8,0.11033,0.64,0.02
0009,-11.5,100000.0,5.0,0.2,0.09,0.0,-0.8,0.091771,0.64,0.02
0009,-11.0,100000.0,5.0,0.2,0.09,0.0,-0.8,0.069174,0.64,0.02
0009,-10.5,100000.0,5.0,0.2,0.09,0.0,-0.8,0.052353,0.64,0.02
0009,-10.0,100000.0,5.0,0.2,0.09,0.0,-0.8,0.047612,0.64,0.02
0009,-9.5,100000.0,5.0,0.2,0.09,0.0,-0.8,0.046473,0.64,0.02
0009,-9.0,100000.0,5.0,0.2,0.09,0.0,-0.8,0.043941,0.64,0.02
0009,-8.5,100000.0,5.0,0.2,0.09,0.0,-0.8,0.044991,0.64,0.02
0009,-8.0,100000.0,5.0,0.2,0.09,0.0,-0.8,0.044996,0.64,0.02
0009,-7.5,100000.0,5.0,0.2,0.09,0.0,-0.8,0.045334,0.64,0.02
0009,-7.0,100000.0,5.0,0.2,0.09,0.0,-0.76764,0.041642,0.589271,0.02
0009,-6.5,100000.0,5.0,0.2,0.09,0.0,-0.7128,0.037863,0.508084,0.02
0009,-6.0,100000.0,5.0,0.2,0.09,0.0,-0.65797,0.035385,0.432925,0.02
0009,-5.5,100000.0,5.0,0.2,0.09,0.0,-0.60314,0.032015,0.363778,0.02
0009,-5.0,100000.0,5.0,0.2,0.09,0.0,-0.54831,0.029026,0.300644,0.02
0009,-4.5,100000.0,5.0,0.2,0.09,0.0,-0.49348,0.02638,0.243523,0.02
0009,-4.0,100000.0,5.0,0.2,0.09,0.0,-0.43865,0.023608,0.192414,0.02
0009,-3.5,100000.0,5.0,0.2,0.09,0.0,-0.38382,0.021816,0.147318,0.02
0009,-3.0,100000.0,5.0,0.2,0.09,0.0,-0.32899,0.019998,0.108234,0.02
0009,-2.5,100000.0,5.0,0.2,0.09,0.0,-0.27416,0.018166,0.075164,0.02
0009,-2.0,100000.0,5.0,0.2,0.09,0.0,-0.21932,0.017574,0.048101,0.02
0009,-1.5,100000.0,5.0,0.2,0.09,0.0,-0.16449,0.016225,0.027057,0.02
0009,-1.0,100000.0,5.0,0.2,0.09,0.0,-0.10966,0.015132,0.012025,0.02
0009,-0.5,100000.0,5.0,0.2,0.09,0.0,-0.05483,0.015133,0.003006,0.02
0009,0.0,100000.0,5.0,0.2,0.09,0.0,0.0,0.014627,0.0,0.02
0009,0.5,100000.0,5.0,0.2,0.09,0.0,0.05483,0.015162,0.003006,0.02
0009,1.0,100000.0,5.0,0.2,0.09,0.0,0.10966,0.015675,0.012025,0.02
0009,1.5,100000.0,5.0,0.2,0.09,0.0,0.16449,0.015913,0.027057,0.02
0009,2.0,100000.0,5.0,0.2,0.09,0.0,0.21932,0.017343,0.048101,0.02
0009,2.5,100000.0,5.0,0.2,0.09,0.0,0.27416,0.018476,0.075164,0.02
0009,3.0,100000.0,5.0,0.2,0.09,0.0,0.32899,0.020156,0.108234,0.02
0009,3.5,100000.0,5.0,0.2,0.09,0.0,0.38382,0.022359,0.147318,0.02
0009,4.0,100000.0,5.0,0.2,0.09,0.0,0.43865,0.023763,0.192414,0.02
0009,4.5,100000.0,5.0,0.2,0.09,0.0,0.49348,0.025947,0.243523,0.02
0009,5.0,100000.0,5.0,0.2,0.09,0.0,0.54831,0.028532,0.300644,0.02
0009,5.5,100000.0,5.0,0.2,0.09,0.0,0.60314,0.031483,0.363778,0.02
0009,6.0,100000.0,5.0,0.2,0.09,0.0,0.65797,0.035069,0.432925,0.02
0009,6.5,100000.0,5.0,0.2,0.09,0.0,0.7128,0.038826,0.508084,0.02
0009,7.0,100000.0,5.0,0.2,0.09,0.0,0.76764,0.042604,0.589271,0.02
0009,7.5,100000.0,5.0,0.2,0.09,0.0,0.82247,0.047086,0.676457,0.02
0009,8.0,100000.0,5.0,0.2,0.09,0.0,0.8773,0.050882,0.769655,0.02
0009,8.5,100000.0,5.0,0.2,0.09,0.0,0.93213,0.056727,0.868866,0.02
0009,9.0,100000.0,5.0,0.2,0.09,0.0,0.98696,0.060202,0.97409,0.02
0009,9.5,100000.0,5.0,0.2,0.09,0.0,1.04179,0.068328,1.085326,0.02
0009,10.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.066581,1.092025,0.02
0009,10.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.065114,1.092025,0.02
0009,11.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.064904,1.092025,0.02
0009,11.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.066443,1.092025,0.02
0009,12.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.065752,1.092025,0.02
0009,12.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.066708,1.092025,0.02
0009,13.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.066568,1.092025,0.02
0009,13.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.066366,1.092025,0.02
0009,14.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.066752,1.092025,0.02
0009,14.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.069935,1.092025,0.02
0009,15.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.083281,1.092025,0.02
0009,15.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.115551,1.092025,0.02
0009,16.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.159843,1.092025,0.02
0009,16.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.190135,1.092025,0.02
0009,17.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.209391,1.092025,0.02
0009,17.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.215089,1.092025,0.02
0009,18.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.212497,1.092025,0.02
0009,18.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.216284,1.092025,0.02
0009,19.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.2161,1.092025,0.02
0009,19.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.212246,1.092025,0.02
0009,20.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.217117,1.092025,0.02
0009,20.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.217778,1.092025,0.02
0009,21.0,100000.0,5.0,0.2,0.09,0.0,1.045,0.21947,1.092025,0.02
0009,21.5,100000.0,5.0,0.2,0.09,0.0,1.045,0.219376,1.092025,0.02
0009,-12.0,100000.0,5.0,0.3,0.09,0.0,-0.8,0.113197,0.64,0.03
0009,-11.5,100000.0,5.0,0.3,0.09,0.0,-0.8,0.093883,0.64,0.03
0009,-11.0,100000.0,5.0,0.3,0.09,0.0,-0.8,0.070736,0.64,0.03
0009,-10.5,100000.0,5.0,0.3,0.09,0.0,-0.8,0.054887,0.64,0.03
0009,-10.0,100000.0,5.0,0.3,0.09,0.0,-0.8,0.048667,0.64,0.03
0009,-9.5,100000.0,5.0,0.3,0.09,0.0,-0.8,0.049011,0.64,0.03
0009,-9.0,100000.0,5.0,0.3,0.09,0.0,-0.8,0.046146,0.64,0.03
0009,-8.5,100000.0,5.0,0.3,0.09,0.0,-0.8,0.046364,0.64,0.03
0009,-8.0,100000.0,5.0,0.3,0.09,0.0,-0.8,0.046191,0.64,0.03
0009,-7.5,100000.0,5.0,0.3,0.09,0.0,-0.8,0.04597,0.64,0.03
0009,-7.0,100000.0,5.0,0.3,0.09,0.0,-0.76764,0.042942,0.589271,0.03
0009,-6.5,100000.0,5.0,0.3,0.09,0.0,-0.7128,0.039793,0.508084,0.03
0009,-6.0,100000.0,5.0,0.3,0.09,0.0,-0.65797,0.035411,0.432925,0.03
0009,-5.5,100000.0,5.0,0.3,0.09,0.0,-0.60314,0.032474,0.363778,0.03
0009,-5.0,100000.0,5.0,0.3,0.09,0.0,-0.54831,0.029419,0.300644,0.03
0009,-4.5,100000.0,5.0,0.3,0.09,0.0,-0.49348,0.026994,0.243523,0.03
0009,-4.0,100000.0,5.0,0.3,0.09,0.0,-0.43865,0.025421,0.192414,0.03
0009,-3.5,100000.0,5.0,0.3,0.09,0.0,-0.38382,0.021828,0.147318,0.03
0009,-3.0,100000.0,5.0,0.3,0.09,0.0,-0.32899,0.02084,0.108234,0.03
0009,-2.5,100000.0,5.0,0.3,0.09,0.0,-0.27416,0.018618,0.075164,0.03
0009,-2.0,100000.0,5.0,0.3,0.09,0.0,-0.21932,0.017687,0.048101,0.03
0009,-1.5,100000.0,5.0,0.3,0.09,0.0,-0.16449,0.017102,0.027057,0.03
0009,-1.0,100000.0,5.0,0.3,0.09,0.0,-0.10966,0.01614,0.012025,0.03
0009,-0.5,100000.0,5.0,0.3,0.09,0.0,-0.05483,0.015448,0.003006,0.03
0009,0.0,100000.0,5.0,0.3,0.09,0.0,0.0,0.015394,0.0,0.03
0009,0.5,100000.0,5.0,0.3,0.09,0.0,0.05483,0.015862,0.003006,0.03
0009,1.0,100000.0,5.0,0.3,0.09,0.0,0.10966,0.015947,0.012025,0.03
0009,1.5,100000.0,5.0,0.3,0.09,0.0,0.16449,0.016882,0.027057,0.03
0009,2.0,100000.0,5.0,0.3,0.09,0.0,0.21932,0.017825,0.048101,0.03
0009,2.5,100000.0,5.0,0.3,0.09,0.0,0.27416,0.018893,0.075164,0.03
0009,3.0,100000.0,5.0,0.3,0.09,0.0,0.32899,0.021291,0.108234,0.03
0009,3.5,100000.0,5.0,0.3,0.09,0.0,0.38382,0.02267,0.147318,0.03
0009,4.0,100000.0,5.0,0.3,0.09,0.0,0.43865,0.023822,0.192414,0.03
0009,4.5,100000.0,5.0,0.3,0.09,0.0,0.49348,0.027036,0.243523,0.03
0009,5.0,100000.0,5.0,0.3,0.09,0.0,0.54831,0.02934,0.300644,0.03
0009,5.5,100000.0,5.0,0.3,0.09,0.0,0.60314,0.033006,0.363778,0.03
0009,6.0,100000.0,5.0,0.3,0.09,0.0,0.65797,0.035401,0.432925,0.03
0009,6.5,100000.0,5.0,0.3,0.09,0.0,0.7128,0.039277,0.508084,0.03
0009,7.0,100000.0,5.0,0.3,0.09,0.0,0.76764,0.043471,0.589271,0.03
0009,7.5,100000.0,5.0,0.3,0.09,0.0,0.82247,0.047839,0.676457,0.03
0009,8.0,100000.0,5.0,0.3,0.09,0.0,0.8773,0.05066,0.769655,0.03
0009,8.5,100000.0,5.0,0.3,0.09,0.0,0.93213,0.055951,0.868866,0.03
0009,9.0,100000.0,5.0,0.3,0.09,0.0,0.98696,0.060723,0.97409,0.03
0009,9.5,100000.0,5.0,0.3,0.09,0.0,1.04179,0.065715,1.085326,0.03
0009,10.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.068445,1.092025,0.03
0009,10.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.067084,1.092025,0.03
0009,11.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.065419,1.092025,0.03
0009,11.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.0676,1.092025,0.03
0009,12.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.068814,1.092025,0.03
0009,12.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.067753,1.092025,0.03
0009,13.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.065299,1.092025,0.03
0009,13.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.06669,1.092025,0.03
0009,14.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.069707,1.092025,0.03
0009,14.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.071778,1.092025,0.03
0009,15.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.085992,1.092025,0.03
0009,15.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.118487,1.092025,0.03
0009,16.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.162268,1.092025,0.03
0009,16.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.200463,1.092025,0.03
0009,17.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.20594,1.092025,0.03
0009,17.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.218304,1.092025,0.03
0009,18.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.222436,1.092025,0.03
0009,18.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.21955,1.092025,0.03
0009,19.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.229351,1.092025,0.03
0009,19.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.219103,1.092025,0.03
0009,20.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.222439,1.092025,0.03
0009,20.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.22436,1.092025,0.03
0009,21.0,100000.0,5.0,0.3,0.09,0.0,1.045,0.228762,1.092025,0.03
0009,21.5,100000.0,5.0,0.3,0.09,0.0,1.045,0.219099,1.092025,0.03
0009,-12.0,100000.0,5.0,0.5,0.09,0.0,-0.8,0.126446,0.64,0.05
0009,-11.5,100000.0,5.0,0.5,0.09,0.0,-0.8,0.101863,0.64,0.05
0009,-11.0,100000.0,5.0,0.5,0.09,0.0,-0.8,0.073184,0.64,0.05
0009,-10.5,100000.0,5.0,0.5,0.09,0.0,-0.8,0.05735,0.64,0.05
0009,-10.0,100000.0,5.0,0.5,0.09,0.0,-0.8,0.050305,0.64,0.05
0009,-9.5,100000.0,5.0,0.5,0.09,0.0,-0.8,0.047564,0.64,0.05
0009,-9.0,100000.0,5.0,0.5,0.09,0.0,-0.8,0.047408,0.64,0.05
0009,-8.5,100000.0,5.0,0.5,0.09,0.0,-0.8,0.046901,0.64,0.05
0009,-8.0,100000.0,5.0,0.5,0.09,0.0,-0.8,0.047201,0.64,0.05
0009,-7.5,100000.0,5.0,0.5,0.09,0.0,-0.8,0.047573,0.64,0.05
0009,-7.0,100000.0,5.0,0.5,0.09,0.0,-0.76764,0.04579,0.589271,0.05
0009,-6.5,100000.0,5.0,0.5,0.09,0.0,-0.7128,0.040165,0.508084,0.05
0009,-6.0,100000.0,5.0,0.5,0.09,0.0,-0.65797,0.038603,0.432925,0.05
0009,-5.5,100000.0,5.0,0.5,0.09,0.0,-0.60314,0.033169,0.363778,0.05
0009,-5.0,100000.0,5.0,0.5,0.09,0.0,-0.54831,0.031143,0.300644,0.05
0009,-4.5,100000.0,5.0,0.5,0.09,0.0,-0.49348,0.028792,0.243523,0.05
0009,-4.0,100000.0,5.0,0.5,0.09,0.0,-0.43865,0.026258,0.192414,0.05
0009,-3.5,100000.0,5.0,0.5,0.09,0.0,-0.38382,0.023812,0.147318,0.05
0009,-3.0,100000.0,5.0,0.5,0.09,0.0,-0.32899,0.022138,0.108234,0.05
0009,-2.5,100000.0,5.0,0.5,0.09,0.0,-0.27416,0.020506,0.075164,0.05
0009,-2.0,100000.0,5.0,0.5,0.09,0.0,-0.21932,0.019221,0.048101,0.05
0009,-1.5,100000.0,5.0,0.5,0.09,0.0,-0.16449,0.018642,0.027057,0.05
0009,-1.0,100000.0,5.0,0.5,0.09,0.0,-0.10966,0.017798,0.012025,0.05
